Type,External Database,VOC,dvap,SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9
Organohalogen compounds,NO,YES,23.2,C(C(Cl)(F)F)(Cl)(F)F,4.020391543,67.01955001,7,3.267786838,4.77964473,3.25,1.383893419,2.139822365,0.995518138,1.944911183,0.321428571,0.892857143,0,0,10.76342198,17.56166019,0,0,0,0,0,0,0,23.20187978,0,0.3,8,170.92,8.3,1.915110054,2.046097815,11.11265432,0.398317306,11.11265432,0.398317306,3.793981481,0.179461898,-4.658179012,-0.179461898,2.6496,21.6,170.92,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,50,0,0,0,0,0,10.76342198,0,0,17.56166019,0,0,23.20187978,0,0,17.56166019,23.20187978,0,0,0,10.76342198,0,0,0,0,0,17.56166019,0,23.20187978,10.76342198,0,0,0,0,0,0,0,0,44.45061728,7.587962963,0,-9.316358025,0,0,0,0,0,0
Allenes,NO,NO,23.68,C=C=CC,3.108612297,38,3.414213562,2.78445705,2.78445705,1.914213562,1.219578794,1.219578794,0.49279928,0.49279928,0.204124145,0.204124145,0,0,0,0,0,0,0,0,0,6.076020107,6.9237372,12.31015427,0,-0.48,4,48.044,3.52,2.52,1.52,3.298611111,0.133361395,3.298611111,-0.03934353,1.763888889,0.03934353,1.763888889,-0.133361395,1.3474,19.384,54.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,5.731218591,6.578935684,12.99975731,0,0,0,0,0,0,0,6.9237372,0,18.38617438,0,0,0,0,0,0,0,0,0,6.9237372,18.38617438,0,0,0,0,0,0,0,0,2.555555556,0,0,1.763888889,5.180555556,0
Acetylides,NO,NO,23.79,C#CCC,2.43309631,29.7931939,3.414213562,2.78445705,2.78445705,1.914213562,1.349335306,1.349335306,0.557677536,0.557677536,0.204124145,0.204124145,0,0,0,0,0,0,0,6.420821623,0,0,6.9237372,5.920434319,6.423349896,-0.44,4,48.044,3.56,2.56,1.56,4.777777778,0.120119861,4.777777778,0.005757286,0.847222222,0.005757286,0.847222222,-0.120119861,1.0296,19.124,54.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12.34378421,6.9237372,0,6.420821623,0,0,0,0,0,0,13.34455882,0,0,0,12.34378421,0,0,0,0,0,0,12.34378421,13.34455882,0,0,0,0,0,0,0,0,0,0,2.430555556,0,5.625,1.944444444,0
Organosulfur compounds,NO,YES,23.8,CS,1,2,2,1.447213595,2.341640786,1,0.447213595,1.341640786,0,0,0,0,0,0,0,0,0,0,0,0,0,6.255769184,0,12.62878915,0,0.35,2,44.078,2.35,1.35,1.207142857,3.527777778,0.182803759,3.527777778,-0.021450825,1.694444444,0.021450825,1.694444444,-0.182803759,0.546,14.91,48.11,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,12.62878915,0,0,6.255769184,0,0,0,12.62878915,0,0,0,0,6.255769184,0,0,0,0,0,0,12.62878915,6.255769184,0,0,0,0,0,0,0,0,0,3.527777778,0,0,0,0,0,1.694444444,0,0
Hydrocarbons,NO,YES,23.9,C=CC(C)C,2.825749369,27.01955001,4.28445705,3.86180732,3.86180732,2.27005561,1.896282162,1.896282162,1.479719196,1.479719196,0.471404521,0.471404521,0,0,0,0,0,0,5.917906046,0,0,0,6.076020107,20.42641008,0,-0.26,5,60.055,4.74,2.007379679,3.74,3.560185185,0.10282411,3.560185185,-0.029309968,0.648148148,0.029309968,0.648148148,-0.10282411,1.8284,25.035,70.135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,6.578935684,19.92349451,5.917906046,0,0,0,0,0,0,5.917906046,13.8474744,0,12.65495579,0,0,0,0,0,0,0,0,5.917906046,13.8474744,12.65495579,0,0,0,0,0,0,0,0,0,0.648148148,0,1.916666667,7.768518519,0
Hydrocarbons,NO,NO,23.92,C1CCC1,2,8,2.828427125,2.828427125,2.828427125,2,2,2,1.414213562,1.414213562,1,1,0.25,0.25,0,0,0,0,0,0,25.68328649,0,0,0,0,0,4,48.044,2.25,0.75,0.125,1.5,0.053305973,1.5,-0.053305973,1.5,0.053305973,1.5,-0.053305973,1.5604,18.468,56.108,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,24,0,0,0,0,0,0,0,0,0,0,25.68328649,0,0,0,0,0,0,0,0,25.68328649,0,0,0,0,0,0,0,0,0,0,0,25.68328649,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Organohalogen compounds,NO,YES,24.6,CCCl,1.632993162,2.754887502,2.707106781,2.085071254,2.8410002,1.414213562,0.974368023,1.508890507,0.267261242,0.801783726,0,0,0,0,0,0,0,0,0,5.880003445,0,0,6.9237372,0,11.60093989,0.29,3,59.475,3.29,2.29,2.29,4.99845679,0.127017656,4.99845679,0.0194567,0.722222222,0.0194567,0.722222222,-0.127017656,1.2451,16.394,64.515,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,11.60093989,6.9237372,0,5.880003445,0,0,11.60093989,0,0,0,6.9237372,5.880003445,0,0,0,0,0,0,11.60093989,5.880003445,0,0,6.9237372,0,0,0,0,0,0,4.99845679,0,0,0,0.722222222,0,0,1.890432099,0
Hydrocarbons,NO,NO,25,CC1(C)CC1,2.382198575,38,3.914213562,3.914213562,3.914213562,2.207106781,2.207106781,2.207106781,2.664213562,2.664213562,1.25,1.25,0.25,0.25,0,0,0,0,0,5.414990469,12.84164325,0,0,13.8474744,0,0,5,60.055,3.2,0.5625,0.64,2.298611111,0.059908808,2.298611111,-0.035381733,0.75,0.035381733,0.75,-0.059908808,1.8064,23.015,70.135,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,13.8474744,18.25663372,0,0,0,0,0,0,5.414990469,26.68911765,0,0,0,0,0,0,0,0,0,0,5.414990469,26.68911765,0,0,0,0,0,0,0,0,0,0.75,0,0,2.902777778,4.597222222,0
Hydrocarbons,NO,NO,25.2,C=CCC=C,2.653163075,29.30296891,4.121320344,3.276020882,3.276020882,2.414213562,1.632993162,1.632993162,0.81305253,0.81305253,0.333333333,0.333333333,0.11785113,0.11785113,0,0,0,0,0,6.420821623,0,0,12.15204021,13.15787137,0,-0.52,5,60.055,4.48,3.48,3.48,3.479166667,0.102770943,3.479166667,-0.017454168,0.916666667,0.017454168,0.916666667,-0.102770943,1.7485,25.011,68.119,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,13.15787137,12.15204021,6.420821623,0,0,0,0,0,0,0,6.420821623,0,25.30991158,0,0,0,0,0,0,0,0,0,6.420821623,25.30991158,0,0,0,0,0,0,0,0,0,0,0,4.541666667,6.958333333,0
Hydrocarbons,NO,YES,25.22,CCC(C)C,2.539538861,14,4.28445705,4.28445705,4.28445705,2.27005561,2.27005561,2.27005561,1.802095141,1.802095141,0.816496581,0.816496581,0,0,0,0,0,0,0,5.917906046,6.420821623,0,0,20.7712116,0,0,5,60.055,5,2.25,4,2.222222222,0.065138409,2.222222222,-0.047394926,0.884259259,0.047394926,0.884259259,-0.065138409,2.0524,25.129,72.151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,27.19203322,5.917906046,0,0,0,0,0,0,5.917906046,27.19203322,0,0,0,0,0,0,0,0,0,0,5.917906046,27.19203322,0,0,0,0,0,0,0,0,0,0,0.884259259,0,1.305555556,6.643518519,0
Organoheterocyclic compounds,NO,YES,25.51,C1CO1,2.25,7.509775004,2.121320344,1.822461853,1.822461853,1.5,1.077350269,1.077350269,0.612372436,0.612372436,0.204124145,0.204124145,0,0,0,0,0,0,0,13.21376393,0,0,0,4.736862954,0,-0.04,3,40.021,1.297837838,0.206165084,0.003402778,4.5,0.376667636,4.5,0.070114395,1,0.070114395,1,-0.376667636,0.0166,10.819,44.053,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,18,4.736862954,0,0,0,0,0,0,0,0,0,0,0,0,13.21376393,4.736862954,0,0,0,0,0,13.21376393,0,0,0,0,0,0,0,13.21376393,4.736862954,0,0,0,0,0,0,12.53,4.5,0,0,0,0,0,0,0,2,0
Organic oxygen compounds,NO,YES,26.12,CC=O,2.187496097,10.26466251,2.707106781,1.98559856,1.98559856,1.414213562,0.81305253,0.81305253,0.23570226,0.23570226,0,0,0,0,0,0,0,0,0,6.286160523,6.9237372,0,0,0,4.794537184,-0.33,3,40.021,2.67,1.67,1.67,8.805555556,0.30371527,8.805555556,0.116405283,0.75,0.116405283,0.75,-0.30371527,0.2052,11.738,44.053,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18,4.794537184,6.286160523,0,0,0,0,0,0,0,0,0,6.9237372,0,0,4.794537184,6.286160523,0,0,0,6.9237372,0,0,0,0,0,0,0,0,6.286160523,4.794537184,0,6.9237372,0,0,0,0,17.07,0,0,8.805555556,0,0,0,0,0.75,1.444444444,0
Hydrocarbons,NO,YES,26.19,CCC(=C)C,2.847378923,35.30296891,4.28445705,3.914213562,3.914213562,2.27005561,1.914213562,1.914213562,1.310660172,1.310660172,0.603553391,0.603553391,0,0,0,0,0,0,0,6.420821623,5.57310453,0,6.9237372,13.50267288,0,-0.26,5,60.055,4.74,2.007379679,3.74,3.673611111,0.10015122,3.673611111,-0.03543505,1.111111111,0.03543505,1.111111111,-0.10015122,1.9725,25.105,70.135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,6.578935684,12.49684173,13.34455882,0,0,0,0,0,0,0,20.26829602,0,12.15204021,0,0,0,0,0,0,0,0,0,20.26829602,12.15204021,0,0,0,0,0,0,0,0,1.25462963,0,0,1.111111111,7.800925926,0
Hydrocarbons,NO,NO,26.4,C=CC(=C)C,3.204805418,51.05865003,4.28445705,3.491563832,3.491563832,2.27005561,1.550476816,1.550476816,1.050476816,1.050476816,0.348461713,0.348461713,0,0,0,0,0,0,0,5.57310453,0,6.076020107,6.9237372,13.15787137,0,-0.52,5,60.055,4.48,1.767356322,3.48,3.555555556,0.098823107,3.555555556,-0.040383549,1.018518519,0.040383549,1.018518519,-0.098823107,1.7485,25.011,68.119,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,24.806996,6.9237372,0,0,0,0,0,0,0,6.9237372,0,24.806996,0,0,0,0,0,0,0,0,0,6.9237372,24.806996,0,0,0,0,0,0,0,0,1.018518519,0,0,1.722222222,8.925925926,0
Hydrocarbons,NO,YES,26.5,CCCCC,2.190609687,7.509775004,4.121320344,4.121320344,4.121320344,2.414213562,2.414213562,2.414213562,1.353553391,1.353553391,0.707106781,0.707106781,0.353553391,0.353553391,0,0,0,0,0,0,19.26246487,0,0,13.8474744,0,0,5,60.055,5,4,4,2.211805556,0.065382555,2.211805556,-0.053831315,1.34375,0.053831315,1.34375,-0.065382555,2.1965,25.199,72.151,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,33.10993927,0,0,0,0,0,0,0,0,33.10993927,0,0,0,0,0,0,0,0,0,0,0,33.10993927,0,0,0,0,0,0,0,0,0,0,0,0,4.076388889,4.423611111,0
Organohalogen compounds,NO,NO,26.6,C(C(F)(F)F)(Cl)Cl,3.541196965,56.44547197,6.077350269,2.967172634,4.479030526,2.943375673,1.292057625,2.164929186,0.84230905,1.938573709,0.24743583,0.742307489,0,0,11.01256821,13.17124514,0,0,0,0,0,0,0,23.20187978,0,0.37,7,151.922,7.37,2.092227095,2.997943485,10.91435185,0.418082942,10.91435185,0.418082942,2.256944444,0.168001394,-4.469135802,-0.168001394,2.3524,21.549,152.93,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,44,0,0,0,4.83626969,0,6.176298517,0,0,13.17124514,0,23.20187978,0,0,0,13.17124514,23.20187978,0,0,0,11.01256821,0,0,0,0,0,13.17124514,0,23.20187978,11.01256821,0,0,0,0,0,0,0,0,32.74305556,8.788580247,-2.256944444,0,0,0,0,-4.469135802,0,0
Organohalogen compounds,NO,NO,26.6,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,5.733228776,250.2515635,14.5,7.035573676,7.035573676,7,3.267786838,3.267786838,2.718697271,2.718697271,1.500723542,1.500723542,0.553192081,0.553192081,30.12018454,52.68498057,0,0,0,0,0,0,0,0,0,-0.84,17,288.031,16.16,3.574791106,2.123798193,12.03125,0.459650216,12.03125,0.459650216,7.25875,0.19196016,-7.65625,-0.19196016,4.0169,26.951,288.031,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,104,0,0,0,0,0,30.12018454,0,0,52.68498057,0,0,0,0,0,52.68498057,0,0,0,0,30.12018454,0,0,0,0,0,52.68498057,0,0,30.12018454,0,0,0,0,0,0,0,0,139.48125,0,0,0,0,-22.71375,0,-14.5175,0,0
Hydrocarbons,NO,NO,26.6,C=CC(C)(C)C,3.445991214,45.54887502,5.207106781,4.78445705,4.78445705,2.560660172,2.196923425,2.196923425,2.570149549,2.570149549,0.612372436,0.612372436,0,0,0,0,0,0,5.414990469,0,0,0,6.076020107,27.35014728,0,-0.26,6,72.066,5.74,1.459492115,3.74,3.631944444,0.10255392,3.631944444,-0.020584523,0.305555556,0.020584523,0.305555556,-0.10255392,2.2185,29.652,84.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,6.578935684,26.84723171,5.414990469,0,0,0,0,0,0,5.414990469,20.7712116,0,12.65495579,0,0,0,0,0,0,0,0,5.414990469,20.7712116,12.65495579,0,0,0,0,0,0,0,0,0.305555556,0,0,1.9375,10.00694444,0
Hydrocarbons,NO,NO,26.7,CC#CC,2.825840129,36.79398752,3.414213562,3,3,1.914213562,1.25,1.25,0.5,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,13.8474744,11.84086864,0,-0.44,4,48.044,3.56,2.56,1.56,2.680555556,0.107032727,2.680555556,-0.0027145,1.819444444,0.0027145,1.819444444,-0.107032727,1.0296,19.124,54.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,11.84086864,0,13.8474744,0,0,0,0,0,0,0,13.8474744,0,0,0,11.84086864,0,0,0,0,0,0,11.84086864,13.8474744,0,0,0,0,0,0,0,0,0,0,5.361111111,0,0,3.638888889,0
Organic oxygen compounds,NO,NO,26.78,CC(C)OC,2.539538861,17.60964047,4.28445705,3.98559856,3.98559856,2.27005561,1.798651089,1.798651089,1.28445705,1.28445705,0.471404521,0.471404521,0,0,0,0,0,0,6.103966388,0,0,7.109797541,13.8474744,0,4.736862954,-0.04,5,64.043,4.96,2.212525253,3.96,4.75,0.382035216,4.75,0.051459641,0.384259259,0.051459641,0.384259259,-0.382035216,1.0412,22.145,74.123,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,32,4.736862954,0,0,0,0,0,0,0,0,0,0,13.8474744,7.109797541,6.103966388,4.736862954,0,0,0,0,19.95144079,7.109797541,0,0,0,0,0,0,0,13.21376393,4.736862954,0,13.8474744,0,0,0,0,9.23,4.75,0,0,0,0,0,0,0.384259259,4,1.699074074
Organohalogen compounds,NO,NO,26.8,C(C(Cl)(F)F)(Cl)F,3.541196965,56.44547197,6.077350269,2.967172634,4.479030526,2.943375673,1.292057625,2.106457878,0.84230905,1.729416336,0.24743583,0.824786099,0,0,11.01256821,13.17124514,0,0,0,0,0,0,0,23.20187978,0,0.37,7,151.922,7.37,2.092227095,2.997943485,11.10339506,0.365713066,11.10339506,0.365713066,2.797067901,0.221648046,-3.929012346,-0.221648046,2.3524,21.549,152.93,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,44,0,0,0,0,5.630857218,5.38171099,0,4.390415048,8.780830095,0,11.60093989,11.60093989,0,0,13.17124514,23.20187978,0,0,0,11.01256821,0,0,0,0,0,13.17124514,0,23.20187978,11.01256821,0,0,0,0,0,0,0,0,33.29861111,8.233024691,0,-3.929012346,-2.797067901,0,0,0,0,0
